Estoque;Centro;Área MRP;Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Nec.MAI/2020;Nec.JUN/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Cons.DEZ/2019;Cons.JAN/2020;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
;DA04;;10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;2,000;2,000;0,000;KIT;60,82;121,63;0,000;0,000;ZROH;PD;022;999,9;999,9;0020009742;ROCHE DIAGNOSTICA BRASIL LTDA;11;7;4;C;Z1;1,000;0,000;0,000;1,000;0,000;018;Cobertura 18 dias;0,000;QAS;FORN. QUA - SEMANAL;;99,0;3,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;8,000;;0;0,00;2.000,00;;1,000;6,000;0,000;0,000;3,000;0,000;0,000;2,000;2,000;1,000;1,000;0,000;4500316325;23/12/2019;;2,000;4500316325;27/12/2019;;1,000;;;;0,000;002;;;28;33;@0A@;2,000;971;@0A@;5,000;999,0;@08@;0,000;00;LIBERADO;3290379190;
;DA04;;10000160;FITA IMPRESS SP1000 ROCHE;1,000;1,000;0,000;UN;245,48;245,48;0,000;0,000;ZROH;PD;022;999,9;999,9;0020009742;ROCHE DIAGNOSTICA BRASIL LTDA;20;16;4;C;Z1;1,000;0,000;0,000;1,000;0,000;018;Cobertura 18 dias;0,000;SEX;FORN. SEX - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;1017478664;10;;24/01/2020;;1,000;0,000;;356,90;0,000;4600003641;5540;356,90;2.000,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;10,000;0,000;;;;0,000;;;;0,000;;;;0,000;008;;;29;207;@0A@;1,000;962;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;6908136001;
;D969;;10000160;FITA IMPRESS SP1000 ROCHE;0,000;0,000;0,000;UN;248,88;0,00;0,028;0,000;ZROH;VV;005;0,0;0,0;;;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;0,252;0,252;0,063;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;228;270;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;6908136001;
;D969;;10000169;CTR SORO RH 10ML FRESENIUS;0,000;0,000;0,000;FR;23,36;0,00;0,000;0,000;ZROH;ZM;007;0,0;999,0;;;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;1,000;;0;0,00;0,00;;0,000;0,000;0,000;10,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;228;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;03;BLOQUEIO COMPRAS;320920;
;DA04;;10000169;CTR SORO RH 10ML FRESENIUS;32,000;32,000;0,000;FR;29,27;936,52;0,000;0,000;ZROH;ND;014;999,9;999,9;;;21;17;4;C;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;QAS;FORN. QUA - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;6,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;285;210;@0A@;32,000;979;@08@;0,000;0,0;;0,000;03;BLOQUEIO COMPRAS;320920;
;DA04;;10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;29,000;29,000;0,000;KIT;761,55;22.084,95;4,740;0,000;ZROH;PD;002;50,0;73,0;;;15;11;4;A;Z1;1,000;0,000;0,000;1,000;0,000;012;Cobertura 12 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;0,000;14,000;10,000;10,000;10,000;9,000;7,000;@3J@;;0;;;;0,000;0,000;;0,00;68,000;;0;0,00;0,00;;25,000;44,000;9,000;7,000;12,000;21,000;15,000;12,000;19,000;13,000;13,000;3,000;;;;0,000;;;;0,000;;;;0,000;001;;;5;20;@0A@;9,085;23;@08@;0,000;0,0;;0,000;00;LIBERADO;180;
;D969;;10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;0,000;0,000;0,000;KIT;761,55;0,00;0,000;0,000;ZROH;VV;005;0,0;0,0;;;0;0;0;A;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;DIA;DIARIO;DA04;99,0;0,000;6,332;5,144;6,430;5,144;5,144;6,430;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;2,000;24,000;0,000;3,000;0,000;16,000;9,000;6,000;6,000;7,000;3,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;227;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;180;
;D969;;10000198;SOL STOP IMMUNOCAP PHADIA;0,000;0,000;0,000;FR;38,28;0,00;0,604;0,000;ZROH;VV;005;0,0;0,0;;;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;0,000;4,000;4,000;5,000;4,000;4,000;5,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;2,000;1,000;0,000;4,000;12,000;7,000;4,000;0,000;10,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;228;252;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;10-9442-01;
;DA04;;10000198;SOL STOP IMMUNOCAP PHADIA;14,000;14,000;0,000;FR;38,28;535,85;0,000;0,000;ZROH;PD;001;999,9;999,9;;;14;10;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;QUS;FORN. QUI - SEMANAL;;99,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;14,000;;0;0,00;0,00;;0,000;0,000;3,000;0,000;0,000;4,000;12,000;7,000;4,000;0,000;10,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;11;336;@0A@;14,000;971;@08@;0,000;0,0;;0,000;00;LIBERADO;10-9442-01;
;D969;;10000204;RGT IMMULITE 2 TBG IMMULITE 200T SIEMENS;0,000;0,000;0,000;KIT;522,55;0,00;0,000;0,000;ZROH;ND;005;0,0;999,0;;;0;0;0;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;349;364;@08@;0,000;0;@08@;0,000;0,0;;0,000;03;BLOQUEIO COMPRAS;10381660;
;DA04;;10000204;RGT IMMULITE 2 TBG IMMULITE 200T SIEMENS;1,000;1,000;0,000;KIT;522,55;522,55;0,000;0,000;ZROH;PD;001;999,9;999,9;;;15;11;4;C;Z1;1,000;0,000;0,000;1,000;0,000;010;Cobertura 10 dias;0,000;QAS;FORN. QUA - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;11;11;@0A@;1,000;975;@08@;0,000;0,0;;0,000;00;LIBERADO;10381660;
;D969;;10000206;DISCO CEFALOTINA C/50 30MCG;0,000;0,000;0,000;FR;9,32;0,00;0,136;0,000;ZROH;VV;006;0,0;0,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;0,000;0,888;0,888;1,110;0,888;0,888;1,110;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;12,000;0,000;0,000;0,000;0,000;0,000;2,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;232;260;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;1614;
