Material;Texto breve de material;Centro;Depósito;Tipo de movimento;Estoque especial;Doc.material;Item doc.material;Data de lançamento;Qtd.  UM registro;UM registro;Centro custo;Montante em MI;Pedido;Lote;Nome do usuário
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D969;;101;;4903649527;2;05/05/2020;2;KIT;P01034D969;0,00;5300151731;42063301;F79339476468
10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;D969;;101;;4903649844;2;05/05/2020;3;KIT;P01037D969;0,00;5300151731;29890;F79339476468
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903650390;1;05/05/2020;-4;PAC;P01177D386;-50,84;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903627865;9;04/05/2020;1;KIT;;0,00;5500000029;40790200;F06330755159
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903638177;1;04/05/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903638239;1;04/05/2020;-0,233;KIT;;-7,13;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903630199;1;04/05/2020;-2;PAC;P01177D386;-25,42;;MIC2019066;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;101;;4903628059;27;04/05/2020;18;PAC;;0,00;5500000029;MIC2019066;F49464620153
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903618506;1;03/05/2020;-0,029;KIT;;-0,89;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903601766;1;02/05/2020;-0,080;KIT;;-2,45;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903593932;1;02/05/2020;-3;PAC;P01177D386;-38,11;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903582953;1;01/05/2020;-0,110;KIT;;-3,37;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903562018;1;30/04/2020;-0,488;KIT;;-14,93;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903561946;1;30/04/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903548008;1;30/04/2020;-3;PAC;P01177D386;-38,10;;MIC2019066;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;101;;4903545234;39;30/04/2020;5;PAC;;0,00;5500000029;MIC2019066;F49464620153
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903531765;1;29/04/2020;-0,154;KIT;;-4,71;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903531687;1;29/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903520534;1;29/04/2020;-2;PAC;P01177D386;-25,39;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903505072;1;28/04/2020;-0,299;KIT;;-9,15;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903504990;1;28/04/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903495024;1;28/04/2020;-5;PAC;P01177D386;-63,47;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903482045;1;27/04/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903482110;1;27/04/2020;-0,062;KIT;;-1,90;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903472252;12;27/04/2020;1;KIT;;0,00;5500000029;40790200;F06330755159
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903474144;1;27/04/2020;-2;PAC;P01177D386;-25,39;;MIC2019066;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903470905;1;27/04/2020;-3;PAC;P01177D386;-38,09;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903461262;1;26/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903443057;1;25/04/2020;-0,090;KIT;;-2,75;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903433526;1;25/04/2020;-2;PAC;P01177D386;-25,39;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903421229;1;24/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903421300;1;24/04/2020;-0,133;KIT;;-4,07;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903384865;6;23/04/2020;1;KIT;;0,00;5500000029;40790200;F49464620153
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903397314;1;23/04/2020;-0,632;KIT;;-19,33;;40790200;SVC_JOBS
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D386;ALMX;201;;4903385339;2;23/04/2020;-1;KIT;P01031D386;-60,93;;42063301;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903387138;1;23/04/2020;-7;PAC;P01177D386;-88,86;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903374785;1;22/04/2020;-0,537;KIT;;-16,43;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903366883;1;22/04/2020;-2;PAC;P01177D386;-25,39;;MIC2019066;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903353723;1;21/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903353778;1;21/04/2020;-0,087;KIT;;-2,66;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903325895;9;20/04/2020;2;KIT;;0,00;5500000029;40790200;F49464620153
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903336100;1;20/04/2020;-0,550;KIT;;-16,83;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903328294;1;20/04/2020;-4;PAC;P01177D386;-50,78;;MIC2018761;F63632721149
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903326800;1;20/04/2020;-1;PAC;P01177D386;-12,70;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903317507;1;19/04/2020;-0,018;KIT;;-0,55;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903300302;1;18/04/2020;-0,310;KIT;;-9,49;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903279328;1;17/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903279409;1;17/04/2020;-0,527;KIT;;-16,13;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903269728;1;17/04/2020;-3;PAC;P01177D386;-38,08;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4903244915;9;16/04/2020;1;KIT;;0,00;5500000029;40790200;F06330755159
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903255896;1;16/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903255950;1;16/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903255981;1;16/04/2020;-0,450;KIT;;-13,77;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903246557;1;16/04/2020;-3;PAC;P01177D386;-38,09;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903232545;1;15/04/2020;-0,460;KIT;;-14,08;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903222791;1;15/04/2020;-1;PAC;P01177D386;-12,69;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903209092;1;14/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903209163;1;14/04/2020;-0,417;KIT;;-12,76;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903200035;1;14/04/2020;-7;PAC;P01177D386;-88,87;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903189238;1;13/04/2020;-0,008;KIT;;-0,24;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903189314;1;13/04/2020;-0,450;KIT;;-13,77;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903172551;1;12/04/2020;-0,008;KIT;;-0,24;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903156638;1;11/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903156706;1;11/04/2020;-0,172;KIT;;-5,26;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903148129;1;11/04/2020;-1;PAC;P01177D386;-12,69;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903139351;1;10/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903139406;1;10/04/2020;-0,067;KIT;;-2,05;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903121702;1;09/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903121782;1;09/04/2020;-0,368;KIT;;-11,26;;40790200;SVC_JOBS
10000160;FITA IMPRESS SP1000 ROCHE;D386;ALMX;101;;4903109975;3;09/04/2020;1;UN;;0,00;5400034834;8Z1345;F06330755159
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903112482;1;09/04/2020;-1;PAC;P01177D386;-12,69;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903098931;1;08/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903098943;1;08/04/2020;-0,399;KIT;;-12,21;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4903089716;1;08/04/2020;-3;PAC;P01177D386;-38,08;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903076356;1;07/04/2020;-0,305;KIT;;-9,33;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903076281;1;07/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903056028;1;06/04/2020;-0,276;KIT;;-8,44;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903038750;1;05/04/2020;-0,008;KIT;;-0,24;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903022820;1;04/04/2020;-0,195;KIT;;-5,97;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903002753;1;03/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4903002824;1;03/04/2020;-0,343;KIT;;-10,49;;40790200;SVC_JOBS
10000176;CTR LIQUIC MARCAD CARD PLUS 3NVS 6X3ML;D969;;101;;4902993223;2;03/04/2020;2;KIT;P01033D969;0,00;5300145523;29890;F11026272408
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902979977;1;02/04/2020;-0,006;KIT;;-0,18;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902980044;1;02/04/2020;-0,330;KIT;;-10,10;;40790200;SVC_JOBS
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D386;ALMX;101;;4902968519;9;02/04/2020;1;KIT;;0,00;5500000029;42063301;F06330755159
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902957278;1;01/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902957327;1;01/04/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902957348;1;01/04/2020;-0,420;KIT;;-12,85;;40790200;SVC_JOBS
10000205;AGAR SABOURAUD 4% 13X100 P. LABOR;D386;ALMX;201;;4902948037;1;01/04/2020;-5;PAC;P01177D386;-63,47;;MIC2018761;F63632721149
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902934314;1;31/03/2020;-0,297;KIT;;-9,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902913770;1;30/03/2020;-0,241;KIT;;-7,37;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902913695;1;30/03/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4902900248;6;30/03/2020;2;KIT;;0,00;5500000029;40790200;F99681978153
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902890578;1;29/03/2020;-0,016;KIT;;-0,49;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902873791;1;28/03/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902873853;1;28/03/2020;-0,187;KIT;;-5,72;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902853414;1;27/03/2020;-0,379;KIT;;-11,60;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902829701;1;26/03/2020;-0,310;KIT;;-9,49;;40790200;SVC_JOBS
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D386;ALMX;201;;4902819258;15;26/03/2020;-1;KIT;P01031D386;-60,93;;42063301;F63632721149
10000158;CTR ANTI-HCV PC ELEC 3ML ROCHE;D386;ALMX;101;;4902819168;15;26/03/2020;1;KIT;;0,00;5500000029;42063301;F06330755159
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902805496;1;25/03/2020;-0,312;KIT;;-9,55;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902805425;1;25/03/2020;-0,003;KIT;;-0,09;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;PGE0;261;;4902780439;1;24/03/2020;-0,218;KIT;;-6,67;;40790200;SVC_JOBS
10000105;RGT 1UR24 URISYS 2400 CASS 400T ROCHE;D386;ALMX;101;;4902767238;12;24/03/2020;2;KIT;;0,00;5500000029;40790200;F06330755159
