Estoque;Centro;Área MRP;Material;Descrição;Saldo;Saldo Disp.;Estoque p/Armazenar;UM;Preço Unit.;Valor Estoque;Est.Seg.(qtd);Pto Reab.;Tipo Material;Tipo MRP;Planejador MRP;Cobertura Estoque s/ entradas;Cobertura Estoque c/ entradas;Fornecedor;Descr. Forn.;Lead Time Total;Prazo Entrega Prevista (Dias);Tempo de Processamento EM;Código ABC;Tamanho do lote MRP;Tamanho mínimo lote;Tamanho máximo lote;Tamanho fixo do lote;Lote Multiplo;Estoque máximo;Perfil de Cobertura;Descrição do Perfil;Estoque Seg(MARC);Calendário de Planejamento;Descrição do Calendário;Centro Abastecedor;Grau atend. (%);Qtd em Pedido de Compras;Nec.DEZ/2019;Nec.JAN/2020;Nec.FEV/2020;Nec.MAR/2020;Nec.ABR/2020;Nec.MAI/2020;Mat.Verif.;Requisição;Item Requisição;Ord.Planej.;Data Remessa;Dt.Reprog.;Qtd RC / Ord.Plan;Qtd.Confirmada;Data Confirmada;Valor da Requisição;Ordens Planejadas;Contrato;Item do Contrato;Preço em Contrato;Faturamento Minimo Fornecedor;Centro com Excesso de Estoque;Cons.JAN/2019;Cons.FEV/2019;Cons.MAR/2019;Cons.ABR/2019;Cons.MAI/2019;Cons.JUN/2019;Cons.JUL/2019;Cons.AGO/2019;Cons.SET/2019;Cons.OUT/2019;Cons.NOV/2019;Cons.DEZ/2019;Pedido 1;Próxima Entrega;Dt. Conf. 1;Quantidade;Pedido 2;2a Entrega;Dt. Conf. 2;Quantidade;Pedido 3;3a Entrega;Dt. Conf. 3;Quantidade;Temp.Armaz.;Perfil MRP;Descrição Perfil MRP;Dias sem Saídas;Dias sem Entradas;Excesso Estoque;Quantidade em Excesso;Dias de Excesso de Estoque;Excesso de Estoque (pedido);Quantidade em Excesso (pedido);Dias em Execesso (pedido);Faturamento minimo;Quantidade em Separação;Stat.Mat.;Des.Status;Num.Mat.Fab.;Materiais Substituídos
;DA04;;10000211;GARROTE TORNIQUETE ADUL;125,000;50,000;0,000;UN;0,56;70,00;423,200;0,000;ZROH;PD;007;0,5;2,0;0020012071;CONSUMERSLAB PRODUTOS PARA LABORATO;22;18;4;C;Z1;250,000;0,000;0,000;250,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;350,000;617,000;620,000;600,000;544,000;365,000;@3J@;1017229935;10;;27/01/2020;;250,000;0,000;;140,00;1.000,000;4600002061;160;0,56;1.000,00;;308,000;526,000;301,000;525,000;117,000;0,000;250,000;400,000;554,000;276,000;175,000;425,000;;;;0,000;;;;0,000;;;;0,000;004;;;2;154;@08@;0,000;0;@08@;0,000;0,0;@08@;75,000;00;LIBERADO;001078;10006112 | 10010143
;DA04;;10000211;GARROTE TORNIQUETE ADUL;125,000;50,000;0,000;UN;0,56;70,00;423,200;0,000;ZROH;PD;007;0,5;2,0;0020012071;CONSUMERSLAB PRODUTOS PARA LABORATO;22;18;4;C;Z1;250,000;0,000;0,000;250,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;350,000;617,000;620,000;600,000;544,000;365,000;@3J@;1017229936;10;;10/02/2020;;250,000;0,000;;140,00;1.000,000;4600002061;160;0,56;1.000,00;;308,000;526,000;301,000;525,000;117,000;0,000;250,000;400,000;554,000;276,000;175,000;425,000;;;;0,000;;;;0,000;;;;0,000;004;;;2;154;@08@;0,000;0;@08@;0,000;0,0;@08@;75,000;00;LIBERADO;001078;10006112 | 10010143
;DA04;;10000211;GARROTE TORNIQUETE ADUL;125,000;50,000;0,000;UN;0,56;70,00;423,200;0,000;ZROH;PD;007;0,5;2,0;0020012071;CONSUMERSLAB PRODUTOS PARA LABORATO;22;18;4;C;Z1;250,000;0,000;0,000;250,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;97,0;0,000;350,000;617,000;620,000;600,000;544,000;365,000;@3J@;1017229937;10;;17/02/2020;;250,000;0,000;;140,00;1.000,000;4600002061;160;0,56;1.000,00;;308,000;526,000;301,000;525,000;117,000;0,000;250,000;400,000;554,000;276,000;175,000;425,000;;;;0,000;;;;0,000;;;;0,000;004;;;2;154;@08@;0,000;0;@08@;0,000;0,0;@08@;75,000;00;LIBERADO;001078;10006112 | 10010143
;DA04;;10000255;TB VAC S/ADITIVO PREMIUM 6ML GBO;3.050,000;2.900,000;0,000;UN;0,35;1.067,74;2.367,360;0,000;ZROH;VV;001;13,6;66,0;0020008197;GREINER BIO-ONE BRASIL PRODUTOS MED;23;19;4;C;Z1;1.200,000;0,000;0,000;1.200,000;0,000;020;Cobertura 20 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;4.950,000;1.753,600;3.836,000;3.288,000;4.110,000;962,500;962,500;@3J@;1017233007;10;;21/01/2020;;1.200,000;0,000;;388,92;4.800,000;4600003569;320;0,32;1.000,00;;1.617,000;4.150,000;800,000;12.900,000;1.200,000;850,000;1.300,000;1.500,000;1.050,000;1.050,000;1.050,000;250,000;5300099713;15/05/2019;23/01/2020;150,000;4500309665;28/11/2019;;1.200,000;4500315527;07/01/2020;;2.400,000;006;;;2;14;@08@;0,000;0;@08@;0,000;0,0;@08@;150,000;00;LIBERADO;456001;
;DA04;;10000255;TB VAC S/ADITIVO PREMIUM 6ML GBO;3.050,000;2.900,000;0,000;UN;0,35;1.067,74;2.367,360;0,000;ZROH;VV;001;13,6;66,0;0020008197;GREINER BIO-ONE BRASIL PRODUTOS MED;23;19;4;C;Z1;1.200,000;0,000;0,000;1.200,000;0,000;020;Cobertura 20 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;4.950,000;1.753,600;3.836,000;3.288,000;4.110,000;962,500;962,500;@3J@;1017233008;10;;11/02/2020;;1.200,000;0,000;;388,92;4.800,000;4600003569;320;0,32;1.000,00;;1.617,000;4.150,000;800,000;12.900,000;1.200,000;850,000;1.300,000;1.500,000;1.050,000;1.050,000;1.050,000;250,000;5300099713;15/05/2019;23/01/2020;150,000;4500309665;28/11/2019;;1.200,000;4500315527;07/01/2020;;2.400,000;006;;;2;14;@08@;0,000;0;@08@;0,000;0,0;@08@;150,000;00;LIBERADO;456001;
;DA04;;10000255;TB VAC S/ADITIVO PREMIUM 6ML GBO;3.050,000;2.900,000;0,000;UN;0,35;1.067,74;2.367,360;0,000;ZROH;VV;001;13,6;66,0;0020008197;GREINER BIO-ONE BRASIL PRODUTOS MED;23;19;4;C;Z1;1.200,000;0,000;0,000;1.200,000;0,000;020;Cobertura 20 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;4.950,000;1.753,600;3.836,000;3.288,000;4.110,000;962,500;962,500;@3J@;1017233009;10;;18/02/2020;;1.200,000;0,000;;388,92;4.800,000;4600003569;320;0,32;1.000,00;;1.617,000;4.150,000;800,000;12.900,000;1.200,000;850,000;1.300,000;1.500,000;1.050,000;1.050,000;1.050,000;250,000;5300099713;15/05/2019;23/01/2020;150,000;4500309665;28/11/2019;;1.200,000;4500315527;07/01/2020;;2.400,000;006;;;2;14;@08@;0,000;0;@08@;0,000;0,0;@08@;150,000;00;LIBERADO;456001;
;D969;;10000255;TB VAC S/ADITIVO PREMIUM 6ML GBO;0,000;0,000;0,000;UN;0,35;0,00;14,400;0,000;ZROH;VV;005;0,0;19,0;DA04;ARMAZEM-PE;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;68,000;53,333;116,667;100,000;25,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;229,000;;0;0,00;0,00;;0,000;50,000;0,000;0,000;400,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;5500001368;17/12/2019;31/12/9999;20,000;5500001368;18/12/2019;31/12/9999;5,000;5500001368;19/12/2019;31/12/9999;5,000;;;;208;240;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;456001;
;DA04;;10000279;SOL LIMP OWERN KOLLER 600T 24X15ML STAGO;13,000;13,000;0,000;KIT;96,24;1.251,12;2,940;0,000;ZROH;PD;002;52,0;88,0;0020013908;STAGO BRASIL COMERCIO, IMPORTACAO E;20;18;2;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;0,000;4,000;4,000;3,000;4,000;4,000;4,000;@3J@;1017226180;10;;04/02/2020;;1,000;0,000;;96,24;7,000;4600002266;40;96,24;2.000,00;;1,000;3,000;8,000;5,000;2,000;4,000;3,000;1,000;2,000;3,000;4,000;1,000;;;;0,000;;;;0,000;;;;0,000;002;;;14;117;@0A@;1,764;12;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;360;
;DA04;;10000279;SOL LIMP OWERN KOLLER 600T 24X15ML STAGO;13,000;13,000;0,000;KIT;96,24;1.251,12;2,940;0,000;ZROH;PD;002;52,0;88,0;0020013908;STAGO BRASIL COMERCIO, IMPORTACAO E;20;18;2;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;0,000;4,000;4,000;3,000;4,000;4,000;4,000;@3J@;1017226181;10;;18/02/2020;;1,000;0,000;;96,24;7,000;4600002266;40;96,24;2.000,00;;1,000;3,000;8,000;5,000;2,000;4,000;3,000;1,000;2,000;3,000;4,000;1,000;;;;0,000;;;;0,000;;;;0,000;002;;;14;117;@0A@;1,764;12;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;360;
;DA04;;10000279;SOL LIMP OWERN KOLLER 600T 24X15ML STAGO;13,000;13,000;0,000;KIT;96,24;1.251,12;2,940;0,000;ZROH;PD;002;52,0;88,0;0020013908;STAGO BRASIL COMERCIO, IMPORTACAO E;20;18;2;C;Z1;1,000;0,000;0,000;1,000;0,000;020;Cobertura 20 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;0,000;4,000;4,000;3,000;4,000;4,000;4,000;@3J@;1017226182;10;;18/02/2020;;2,000;0,000;;192,48;7,000;4600002266;40;96,24;2.000,00;;1,000;3,000;8,000;5,000;2,000;4,000;3,000;1,000;2,000;3,000;4,000;1,000;;;;0,000;;;;0,000;;;;0,000;002;;;14;117;@0A@;1,764;12;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;360;
;D969;;10000279;SOL LIMP OWERN KOLLER 600T 24X15ML STAGO;0,000;0,000;0,000;KIT;96,24;0,00;0,192;0,000;ZROH;VV;005;0,0;21,0;DA04;ARMAZEM-PE;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;99,0;1,000;0,710;1,554;1,332;1,665;1,332;1,332;@3J@;;0;;;;0,000;0,000;;0,00;8,000;;0;0,00;0,00;;1,000;2,000;0,000;4,000;1,000;0,000;3,000;0,000;2,000;1,000;1,000;1,000;5500001368;17/12/2019;31/12/9999;1,000;;;;0,000;;;;0,000;;;;212;250;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;360;
;DA04;;10000311;CLOREXID ALCOOLICA 0.5% 30ML;233,000;229,000;0,000;FR;3,12;726,96;140,800;0,000;ZROH;PD;007;13,6;58,0;0020014407;CM HOSPITALAR S.A.;14;10;4;B;Z1;30,000;0,000;0,000;30,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;99,0;180,000;157,000;204,000;167,000;195,000;177,000;119,000;@3J@;1017184585;10;;13/01/2020;;60,000;0,000;;187,20;480,000;4600004347;280;3,12;500,00;;90,000;115,000;226,000;252,000;120,000;0,000;69,000;350,000;34,000;141,000;188,000;72,000;4500296667;17/12/2019;;180,000;;;;0,000;;;;0,000;004;;;5;19;@08@;0,000;0;@0A@;109,000;15,0;@08@;4,000;00;LIBERADO;206809;
;DA04;;10000311;CLOREXID ALCOOLICA 0.5% 30ML;233,000;229,000;0,000;FR;3,12;726,96;140,800;0,000;ZROH;PD;007;13,6;58,0;0020014407;CM HOSPITALAR S.A.;14;10;4;B;Z1;30,000;0,000;0,000;30,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;99,0;180,000;157,000;204,000;167,000;195,000;177,000;119,000;@3J@;1017184586;10;;20/01/2020;;30,000;0,000;;93,60;480,000;4600004347;280;3,12;500,00;;90,000;115,000;226,000;252,000;120,000;0,000;69,000;350,000;34,000;141,000;188,000;72,000;4500296667;17/12/2019;;180,000;;;;0,000;;;;0,000;004;;;5;19;@08@;0,000;0;@0A@;109,000;15,0;@08@;4,000;00;LIBERADO;206809;
;DA04;;10000311;CLOREXID ALCOOLICA 0.5% 30ML;233,000;229,000;0,000;FR;3,12;726,96;140,800;0,000;ZROH;PD;007;13,6;58,0;0020014407;CM HOSPITALAR S.A.;14;10;4;B;Z1;30,000;0,000;0,000;30,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;99,0;180,000;157,000;204,000;167,000;195,000;177,000;119,000;@3J@;1017184587;10;;27/01/2020;;30,000;0,000;;93,60;480,000;4600004347;280;3,12;500,00;;90,000;115,000;226,000;252,000;120,000;0,000;69,000;350,000;34,000;141,000;188,000;72,000;4500296667;17/12/2019;;180,000;;;;0,000;;;;0,000;004;;;5;19;@08@;0,000;0;@0A@;109,000;15,0;@08@;4,000;00;LIBERADO;206809;
;DA04;;10000311;CLOREXID ALCOOLICA 0.5% 30ML;233,000;229,000;0,000;FR;3,12;726,96;140,800;0,000;ZROH;PD;007;13,6;58,0;0020014407;CM HOSPITALAR S.A.;14;10;4;B;Z1;30,000;0,000;0,000;30,000;0,000;020;Cobertura 20 dias;0,000;SES;FORN. SEG - SEMANAL;;99,0;180,000;157,000;204,000;167,000;195,000;177,000;119,000;@3J@;1017184588;10;;03/02/2020;;60,000;0,000;;187,20;480,000;4600004347;280;3,12;500,00;;90,000;115,000;226,000;252,000;120,000;0,000;69,000;350,000;34,000;141,000;188,000;72,000;4500296667;17/12/2019;;180,000;;;;0,000;;;;0,000;004;;;5;19;@08@;0,000;0;@0A@;109,000;15,0;@08@;4,000;00;LIBERADO;206809;
;D969;;10000359;CLB FT4 GER2 CS ELEC COBAS C/4 1ML ROCHE;0,000;0,000;0,000;KIT;28,41;0,00;0,000;0,000;ZROH;ZM;005;0,0;999,0;;;2;0;2;C;Z1;1,000;0,000;0,000;1,000;0,000;004;Cobertura 4 dias;0,000;DIA;DIARIO;DA04;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;;;;0;0;@08@;0,000;0;@08@;0,000;0,0;;0,000;00;LIBERADO;6437290190;
;DA04;;10000359;CLB FT4 GER2 CS ELEC COBAS C/4 1ML ROCHE;0,000;0,000;0,000;KIT;0,00;0,00;0,000;0,000;ZROH;ZM;022;0,0;999,0;;;11;7;4;C;Z1;1,000;0,000;0,000;1,000;0,000;;;0,000;QAS;FORN. QUA - SEMANAL;;97,0;0,000;0,000;0,000;0,000;0,000;0,000;0,000;@3J@;;0;;;;0,000;0,000;;0,00;0,000;;0;0,00;0,00;;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;;;;0,000;;;;0,000;002;;;23;23;@08@;0,000;0;@08@;0,000;0,0;;0,000;02;Bloq.para roteiro/LisTéc.;6437290190;
;DA04;;10000555;RGT BETA HCG ARCH 100T ABBOTT;3,000;3,000;0,000;KIT;83,92;251,77;3,195;0,000;ZROH;PD;001;3,0;56,0;0020011786;ABBOTT LABORATORIOS DO BRASIL LTDA;19;15;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;9,000;4,000;7,000;5,000;4,000;6,000;3,000;@3J@;1017212507;10;;21/01/2020;;1,000;0,000;;83,92;10,000;4600003724;1760;83,92;1.500,00;;11,000;4,000;8,000;5,000;7,000;9,000;8,000;5,000;7,000;3,000;5,000;7,000;4500313153;12/12/2019;;4,000;4500311222;16/12/2019;;3,000;4500315595;07/01/2020;;1,000;002;;;2;13;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;07K7825;
;DA04;;10000555;RGT BETA HCG ARCH 100T ABBOTT;3,000;3,000;0,000;KIT;83,92;251,77;3,195;0,000;ZROH;PD;001;3,0;56,0;0020011786;ABBOTT LABORATORIOS DO BRASIL LTDA;19;15;4;C;Z1;1,000;0,000;0,000;1,000;0,000;015;Cobertura 15 dias;0,000;TES;FORN. TER - SEMANAL;;99,0;9,000;4,000;7,000;5,000;4,000;6,000;3,000;@3J@;1017212508;10;;28/01/2020;;1,000;0,000;;83,92;10,000;4600003724;1760;83,92;1.500,00;;11,000;4,000;8,000;5,000;7,000;9,000;8,000;5,000;7,000;3,000;5,000;7,000;4500313153;12/12/2019;;4,000;4500311222;16/12/2019;;3,000;4500315595;07/01/2020;;1,000;002;;;2;13;@08@;0,000;0;@08@;0,000;0,0;@08@;0,000;00;LIBERADO;07K7825;
